transaction_id,transaction_date,merchant_name,raw_amount,currency,status,risk_score,gateway_region,user_id,payment_method,amount_usd,region,Merchant id,high_value_flag,high_risk_flag
T001,01-03-2026,Alpha Mart,420000,INR,CAPTURED,score:62,APAC,U001,UPI,4998,APAC,M001,0,1
T002,01-03-2026,Alpha Mart,210000,INR,CAPTURED,55,,U002,Card,2499,APAC,M001,0,0
T003,01-03-2026,Beta Stores,510000,INR,CAPTURED,71, APAC ,U003,NetBanking,6069,APAC,M002,1,1
T004,02-03-2026,Beta Stores,160000,INR,Failed E05 Timeout,68,apac,U004,Card,1904,APAC,M002,0,0
T005,02-03-2026,Alpha Mart,390000,INR,CAPTURED,58,,U001,UPI,4641,APAC,M001,0,0
T006,02-03-2026,Beta Stores,275000,INR,CAPTURED,score:64,,U005,Wallet,3272.5,APAC,M002,0,1
T007,02-03-2026,Alpha Mart,450000,INR,chargeback,risk-83, APAC ,U006,Card,5355,APAC,M001,1,1
T008,03-03-2026,Beta Stores,340000,INR,CAPTURED,59,,U007,UPI,4046,APAC,M002,0,0
T009,03-03-2026,Alpha Mart,125000,INR,CAPTURED,46,APAC,U002,Wallet,1487.5,APAC,M001,0,0
T010,03-03-2026,Beta Stores,610000,INR,CAPTURED,risk-77,,U003,Card,7259,APAC,M002,1,1
T011,03-03-2026,Alpha Mart,195000,INR,Failed E05 Timeout,,,U008,UPI,2320.5,APAC,M001,0,0
T012,04-03-2026,Beta Stores,250000,INR,CAPTURED,risk-61, APAC ,U009,Card,2975,APAC,M002,0,1
T013,04-03-2026,Alpha Mart,310000,INR,CAPTURED,score:54,APAC,U010,UPI,3689,APAC,M001,0,1
T014,04-03-2026,Beta Stores,470000,INR,CAPTURED,risk-73,APAC,U001,NetBanking,5593,APAC,M002,1,1
T015,04-03-2026,Alpha Mart,130000,INR,CAPTURED,score:52,,U002,Card,1547,APAC,M001,0,1
T016,05-03-2026,Beta Stores,220000,INR,Failed E05 Timeout,risk-69,,U008,Card,2618,APAC,M002,0,1
T017,05-03-2026,Beta Stores,180000,INR,Failed E05 Timeout,score:72,apac,U008,Card,2142,APAC,M002,0,1
T018,05-03-2026,Beta Stores,145000,INR,chargeback,risk-86, APAC ,U008,UPI,1725.5,APAC,M002,0,1
T019,05-03-2026,Alpha Mart,260000,INR,Failed E05 Timeout,score:67,apac,U008,Wallet,3094,APAC,M001,0,1
T020,05-03-2026,Alpha Mart,520000,INR,CAPTURED,75,APAC,U005,UPI,6188,APAC,M001,1,1
T021,06-03-2026,Beta Stores,330000,INR,CAPTURED,score:63,,U006,Card,3927,APAC,M002,0,1
T022,06-03-2026,Alpha Mart,410000,INR,CAPTURED,60,APAC,U007,UPI,4879,APAC,M001,0,0
T023,01-03-2026,City Pharma,5200,EUR,CAPTURED,42, EU ,U003,Card,5616,EU,M003,0,0
T024,02-03-2026,Eco Home,6100,EUR,chargeback,score:65,EU,U004,Card,6588,EU,M005,1,1
T025,03-03-2026,City Pharma,2800,EUR,CAPTURED,38,eu,U005,Wallet,3024,EU,M003,0,0
T026,05-03-2026,Eco Home,3300,EUR,Failed E05 Timeout,44, EU ,U006,NetBanking,3564,EU,M005,0,0
T027,01-03-2026,Delta Travels,7200,USD,CAPTURED,49,us,U007,Card,7200,US,M004,1,0
T028,02-03-2026,Delta Travels,3100,USD,CAPTURED,risk-41,US,U008,Card,3100,US,M004,0,1
T029,04-03-2026,Delta Travels,2500,USD,chargeback,score:58,US,U009,Wallet,2500,US,M004,0,1
T030,06-03-2026,Delta Travels,1800,USD,Failed E05 Timeout,score:47,US,U010,UPI,1800,US,M004,0,1
